Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C25, C26, C30, C31, C9",0402,6,18pF 50V,
"C10, C19, C20",0402,3,1uF 25V,
"C11, C12, C13, C14, C15, C16, C17, C18, C2, C21, C22, C23, C24, C27, C3, C36, C37, C4, C40, C41, C44, C45, C6, C61, C62, C70, C71, C73, C74, C75, C76, C8",0402,32,100nF 50V,
"C28, C29, C33",1206,3,1nF 2kV,
"C32, C34, C35, C63, C64, C65, C72",CP_Elec_8x10.5,7,220uF 35V,
C38,0603,1,1uF 50V,
"C39, C66, C67, C68, C69",0603,5,10uF 25V,
"C42, C43",0402,2,22nF 50V,
"C46, C47, C5, C7",0402,4,2.2uF 6.3V,
"C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59",1206,12,10uF 50V,
C60,CP_EIA-3528-21_Kemet-B,1,100uF 6.3V,
"D1, D10, D11, D12, D13, D2, D3, D4, D5, D6, D7, D8, D9",D_SMA,13,SS34,
"D14, D15",D_SOD-882,2,H5VU10BB,
"D16, D17, D18, D19",0603,4,KT-0603R,
"J1, J10, J11, J12, J13, J14, J15, J16, J17, J18, J19, J2, J20, J21, J29, J3, J30, J31, J32, J33, J34, J35, J36, J4, J5, J6, J7, J8, J9",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,29,XH-2A,
"J22, J23, J24, J25, J26, J27, J28, J37, J39",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,9,XH-4A,
J38,CONN-TH_HB9500M-9.5-2P,1,HB9500M-9.5-2P,C601239
L1,L_Chilisin_BMRF00101040,1,C6364682,
"Q1, Q10, Q11, Q12, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",SOT-23,12,AO3400A,
"R1, R3",0402,2,2.2kR 1%,
R10,0402,1,6.49kR 1%,
"R11, R12, R13, R5, R6, R8, R9",0402,7,33R 1%,
"R14, R15",1206,2,1MR 1%,
"R16, R17, R18, R19",0402,4,75R 1%,
"R2, R21, R23, R29, R36, R37, R38, R39, R4, R40, R41, R42, R49, R50, R51, R52, R53, R54, R68, R69, R7",0402,21,10kR 1%,
"R20, R22, R57, R58, R59, R60, R61, R62, R63, R64, R67",0402,11,1kR 1%,
"R24, R30, R31, R32, R33, R34, R35, R43, R44, R45, R46, R47, R48, R65, R66",0402,15,330R 1%,
"R25, R26, R27, R28",1206,4,100mR 1% 0.5W,
"R55, R56",0402,2,5.1kR 1%,
R70,0402,1,33kR 1%,
RJ1,RJ45-TH_HC-WK88-H16-DB,1,HC-WK88-H16-DB,C7501824
"SW1, SW2",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,2,TS-1187A-B-A-B,C318884
T1,HXXXX,1,HX1188NL,
U1,LQFP-144_20x20mm_P0.5mm,1,STM32H723ZGTx,
U10,SOIC-8_3.9x4.9mm_P1.27mm,1,LM393,
U2,Texas_RMQ0024A_WQFN-24-1EP_3x3mm_P0.4mm_EP1.9x1.9mm,1,DP83825I,
"U3, U4",VQFN-28-1EP_5x5mm_P0.5mm_EP3.7x3.7mm_ThermalVias,2,TMC2209-LA,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,XL1509-5.0,
U6,SOT-223-3_TabPin2,1,AMS1117-3.3,
U7,SOP65P640X120-24N,1,SN74LVC4245APWR,
U8,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U9,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL-1,1,TMI8340_C2985071,C2985071
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186
"X1, X2",CRYSTAL-SMD_4P-L3.2-W2.5-BL,2,X322525MOB4SI,C9006
X3,FC-135R_L3.2-W1.5,1,Q13FC1350000400,C32346
