Designator,Mid X,Mid Y,Rotation,Layer
C1,21.75,-14.5,0.0,top
C10,0.25,12.0,180.0,top
C11,17.25,-14.0,90.0,top
C12,16.5,-6.25,180.0,top
C13,13.5,-19.5,225.0,top
C14,23.25,-5.0,0.0,top
C15,25.25,2.5,270.0,top
C16,0.25,-1.5,180.0,top
C17,24.25,15.75,0.0,top
C18,16.0,18.25,0.0,top
C19,22.25,-23.0,180.0,top
C2,0.75,7.0,90.0,top
C20,9.75,-23.0,0.0,top
C21,11.0,18.25,0.0,top
C22,22.25,-22.0,180.0,top
C23,9.75,-22.0,0.0,top
C24,2.75,17.0,180.0,top
C25,-2.25,6.25,180.0,top
C26,-1.5,12.0,90.0,top
C27,25.25,8.0,270.0,top
C28,26.5,-27.5,270.0,top
C29,5.5,-27.5,270.0,top
C3,0.25,2.5,0.0,top
C30,-2.25,0.75,180.0,top
C31,-1.5,10.0,270.0,top
C32,-42.75,-36.75,90.0,top
C33,26.25,-41.25,90.0,top
C34,-33.75,-36.75,90.0,top
C35,-24.75,-36.75,90.0,top
C36,-33.25,24.75,180.0,top
C37,-33.25,10.75,180.0,top
C38,-27.75,-31.5,180.0,top
C39,-18.5,-13.0,0.0,top
C4,0.75,0.0,270.0,top
C40,-33.25,17.25,0.0,top
C41,-33.25,3.25,0.0,top
C42,-35.249999,17.25,0.0,top
C43,-35.249999,3.25,0.0,top
C44,-39.25,23.5,0.0,top
C45,-39.25,9.5,0.0,top
C46,-31.75,18.5,0.0,top
C47,-31.75,4.5,0.0,top
C48,-37.0,47.75,0.0,top
C49,-30.25,47.75,0.0,top
C5,22.25,-6.25,0.0,top
C50,-23.5,47.75,0.0,top
C51,-16.75,47.75,0.0,top
C52,-10.0,47.75,0.0,top
C53,-3.25,47.75,0.0,top
C54,3.5,47.75,0.0,top
C55,10.25,47.75,0.0,top
C56,17.0,47.75,0.0,top
C57,23.75,47.75,0.0,top
C58,30.5,47.75,0.0,top
C59,37.25,47.75,0.0,top
C6,5.0,-6.25,180.0,top
C60,-14.25,-14.75,90.0,top
C61,-39.25,18.5,0.0,top
C62,-39.25,4.5,0.0,top
C63,-26.25,21.0,90.0,top
C64,-26.25,7.0,90.0,top
C65,-26.25,-13.75,0.0,top
C66,0.75,-44.5,90.0,top
C67,0.75,-37.75,90.0,top
C68,0.75,-31.0,90.0,top
C69,0.75,-24.25,90.0,top
C7,25.25,14.25,90.0,top
C70,-11.5,-20.75,270.0,top
C71,-11.5,-15.5,90.0,top
C72,-27.75,-4.5,180.0,top
C73,-7.5,2.75,90.0,top
C74,-34.5,-3.25,90.0,top
C75,30.5,-39.75,90.0,top
C76,40.0,-38.25,90.0,top
C8,11.5,-6.25,180.0,top
C9,21.75,-20.25,0.0,top
D1,-18.5,-34.75,270.0,top
D10,18.5,32.0,270.0,top
